"","Country","Region","district","Product","date","Open","High","Low","Close","Currency"
"","Somalia","Hiraan","Beletweyne","oil","2022-03-01","51431.19","53531.41","49330.97","51193.85","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2022-04-01","51489.88","52624.18","50355.57","50439.22","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2022-05-01","50311.69","51076.85","49546.53","51805.51","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2022-06-01","52537.52","53825.56","51249.47","53314.83","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2022-07-01","53935.65","55697.14","52174.16","52988.77","SOS"
"","Somalia","Hiraan","Beletweyne","oil","2022-08-01","52996.92","54988.82","51005.02","53327.36","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-01-01","18134.08","18941.29","17326.87","17674.36","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-02-01","17613.13","18438.8","16787.45","17045.54","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-03-01","16802.16","17600.86","16003.47","16383.45","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-04-01","16110.6","16900.33","15320.87","15777","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-05-01","15487.66","16270.09","14705.22","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-06-01","16103.71","16883.31","15324.1","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-07-01","15947.57","16762.57","15132.56","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-08-01","16089.89","16928.05","15251.72","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-09-01","15955.68","16807.9","15103.46","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-10-01","16074.61","16936.95","15212.28","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-11-01","17459.92","18225.73","16694.11","18000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2017-12-01","18540.18","19359.78","17720.58","17750","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-01-01","17713.63","18471.44","16955.83","18462.88","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-02-01","18938.04","19694.21","18181.88","18948.41","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-03-01","19104.66","19962.89","18246.43","19220.78","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-04-01","19561.86","20479.54","18644.18","19200","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-05-01","19122.51","20052.38","18192.64","16100","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-06-01","15069.73","16127.45","14012.02","16300","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-07-01","16485.81","17466.01","15505.61","15200","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-08-01","14467.78","15354.47","13581.09","15100","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-09-01","15343.14","16029.88","14656.4","14092.26","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-10-01","13342.65","14058.3","12627","13402.54","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-11-01","13407.96","13832.45","12983.47","12824.98","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2018-12-01","12247.17","12514.57","11979.77","11900","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-01-01","11732.18","11946.62","11517.75","12130.83","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-02-01","12017.68","12356.5","11678.86","12458","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-03-01","12734.38","13144.31","12324.46","12865.9","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-04-01","12968.41","13492.25","12444.56","13300","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-05-01","13670.07","14253.55","13086.59","13500","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-06-01","13538.99","14182.62","12895.36","13600","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-07-01","13808.2","14497.58","13118.82","13600","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-08-01","13533.23","14243.99","12822.46","15000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-09-01","15854.24","16104.02","15604.46","15000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-10-01","14839.01","14876.51","14801.52","15000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-11-01","15336.15","15805.52","14866.78","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2019-12-01","16251.64","16785.39","15717.89","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-01-01","16219.54","16875.61","15563.48","16933.9","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-02-01","17346.09","18023.97","16668.22","17821.38","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-03-01","18364.92","19141.31","17588.53","18631.46","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-04-01","19098.52","19983.83","18213.21","19250","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-05-01","19683.61","20656.18","18711.04","20000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-06-01","20444.2","21484.56","19403.84","18800","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-07-01","18385.98","18991.17","17780.79","18000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-08-01","17789.21","18520.82","17057.61","17200","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-09-01","16719.61","17459.21","15980.01","16500","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-10-01","16272.78","17051.22","15494.33","16250","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-11-01","16021.76","16838.17","15205.35","15613.1","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2020-12-01","15382.25","16171.88","14592.61","15000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-01-01","14691.77","15455.9","13927.64","15158.97","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-02-01","15256.93","16017.49","14496.38","15425.4","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-03-01","15480.91","16281.35","14680.47","15774.19","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-04-01","16038.83","16864.07","15213.58","16000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-05-01","16085.82","16941.38","15230.26","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-06-01","17621.86","18389.72","16853.99","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-07-01","16926.55","17688.29","16164.81","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-08-01","17230.16","18049.48","16410.84","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-09-01","16861.16","17706.29","16016.04","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-10-01","17182.75","18049.01","16316.49","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-11-01","16892.34","17771.24","16013.45","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2021-12-01","17159.55","18047.97","16271.13","17000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-01-01","16911.18","17803.85","16018.51","17286.96","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-02-01","17562.8","18453.38","16672.22","17623.36","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-03-01","17699.57","18616.38","16782.76","18000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-04-01","18343.52","19270.59","17416.45","18000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-05-01","17926.35","18839.74","17012.97","18064.52","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-06-01","18259.96","19181.86","17338.06","19000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-07-01","19367.88","20252.16","18483.6","20000","SOS"
"","Somalia","Hiraan","Beletweyne","rice","2022-08-01","20621.87","21519.71","19724.04","20796.47","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-01-01","13261.65","14328.79","12194.5","14005.15","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-02-01","14651.89","15832.38","13471.4","12855.38","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-03-01","12384.7","13174.86","11594.55","13697.42","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-04-01","14426.64","15203.64","13649.64","14591.43","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-05-01","15017.62","16109.13","13926.11","13252.63","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-06-01","12806.54","13553.93","12059.15","14029.06","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-07-01","14663.24","15464.75","13861.73","12773.89","SOS"
